uf,municipality,district,sub_district,tract,urban_rural,place,address_1,address_2,house_number,modifier,complement1,value_1,complement_2,value_2,complement_3,value_3,complement4,value_4,complement_5,value_5,complement_6,value_6,latitude,longitude,borough,nil,landuse_id,landuse_description,multiple,collective_name,block_number,face_number,post_code,code_tract
52,8707,5,39,6,1,RUA,NA,DAS HORTENCIAS,0,SN,QUADRA,26 a,LOTE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JARDIM BOTANICO,NA,6,IGREJA  ASSEMBLEIA DE DEUS,1,NA,19,3,74390390,520870705390006
35,36307,5,0,9,1,RUA,CONEGO,PEREGRINO,1356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,LABORATORIO DE ANAISES CLINICAS,1,NA,16,2,14415000,353630705000009
29,29404,5,0,17,1,RUA,NA,RUI BARBOSA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RUI BARBOSA,NA,6,USO COLETIVO,1,NA,1,5,44580000,292940405000017
52,8707,5,25,3,1,AVENIDA,NA,PEDRO LAURICIO RASMUSSEN,0,SN,QUADRA,V,LOTE,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B FELIZ,NA,6,RADICAW ESPORTE E ENTRETENIMENTO,1,NA,1,3,74620060,520870705250003
33,4557,5,10,305,1,AVENIDA,NOSSA SENHORA,DE COPACABANA,1085,NA,LOJA,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COPACABANA,NA,6,LOJA DESIGNE GRAFICO,1,NA,1,1,22070011,330455705100305
33,4904,20,0,184,1,RUA,DOUTOR,GETULIO VARGAS,2145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SANTA CATARINA,NA,6,FARMACIA,2,NA,1,4,24416000,330490420000184
28,4508,5,0,30,2,ESTRADA,NA,ATE A CASA DE DOMILSON,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10 08 30.4500 S,37 43 23.4600 O,PEDRA GRANDE,NA,3,CRIACAO DE GALINHA,NA,NA,0,0,49680000,280450805000030
15,7300,25,0,11,2,VICINAL,NA,TRIUNFO,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06 18 42.9900 S,52 30 23.3460 O,IRIRI,NA,3,SITIO VIDA BOA,NA,NA,0,0,68380000,150730025000011
21,11300,5,0,83,1,TRAVESSA,DOM,PEDRO II,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BAIRRO DE FATIMA,NA,6,LANCHONETE,1,NA,5,2,65030460,211130005000083
15,2103,20,0,6,2,RIO,NA,JAITUBA,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02 02 38.0520 S,49 24 17.1900 O,JAITUBA,NA,3,EXTRACAO VEGETAL,NA,NA,0,0,68400000,150210320000006
31,65578,5,0,2,1,RUA,NA,JOSE SABINO,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SENADOR AMARAL,NA,3,CURRAL,NA,NA,10,1,37615000,316557805000002
25,304,5,0,18,2,RUA,NA,MANOEL JOAQUIM DE CARVALHO,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,CAXA DAGUA,1,NA,8,4,58388000,250030405000018
35,38709,5,0,246,1,RUA,SAO,JUDAS TADEU,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BAIRRO VERDE,NA,6,GALPAO ABANDONADO,1,NA,32,1,13424200,353870905000246
31,44607,5,0,13,1,AVENIDA,MONSENHOR,LUIZ DE GONZAGA,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,VERDURAO COISAS DA TERRA,1,NA,12,2,37250000,314460705000013
29,4753,5,0,12,2,BAIXAO,NA,DE CECILIO,94,FNS,CASA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LARGOS,NA,3,ATIVIDADE AGROPECUARIO,NA,NA,1,6,47120000,290475305000012
31,47105,5,0,8,1,RUA,MAJOR,MANOEL ANTONIO,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,ESTEC CONTABILIDADE,1,NA,8,1,35600000,314710505000008
15,7300,35,0,2,2,VICINAL,NA,MARIA HELENA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05 33 5.3760 S,51 09 24.4680 O,SUDOESTE,NA,3,SITIO NORTE,NA,NA,0,0,68380000,150730035000002
15,1402,60,0,114,1,PASSAGEM,NA,SEXTA LINHA,35,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TENONE,NA,4,ESCOLA PEQUENO APRENDIS,1,NA,1,2,66820000,150140260000114
31,18601,10,1,11,1,RUA,NA,13 DE MAIO,40,NA,LOJA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PARQUE INDUSTRIAL,NA,6,IGREJA,1,NA,3,2,32000000,311860110010011
29,16302,5,0,4,1,RUA,NA,VALFRIDES SANTANA,6,FNS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,LOJA DE ROUPAS,1,NA,17,1,45855000,291630205000004
23,1109,5,0,3,1,RUA,TABELIAO,JOAO PAULO,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,FRIGORIFICO,1,NA,6,3,62800000,230110905000003
11,31,5,0,15,2,LINHA,NA,7,13,KM,CASA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13 20 12.9780 S,60 39 54.0600 O,CABIXI,NA,3,PECUARIA,NA,NA,0,0,76994000,110003105000015
25,16003,5,0,37,2,SITIO,NA,JUAZEIRINHO,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06 47 29.6520 S,35 40 51.9900 O,SITIO JUAZEINHO,NA,3,CRIACAO DE BOVINOS,NA,NA,0,0,58225000,251600305000037
35,50308,11,0,60,1,RUA,NA,JOSE PEDRESCHI,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BRASILANDIA,NA,6,MANUTENCAO EQUIPAMENTOS SABESP,1,NA,2,1,2881000,355030811000060
35,24402,5,0,212,1,AVENIDA,EXPEDICIONARIO,BENEDITO CARNEIRO,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PARQUE SANTO ANTONIO,NA,6,CONSULTORIO DE PEDIATRIA E PSCICOLOGIA,1,NA,6,2,12309510,352440205000212
32,201,5,0,14,1,RUA,NA,FRANCISCO TEIXEIRA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CENTRO,NA,6,SEDE DO CLUBE RIO BRANC0,1,NA,7,2,29500000,320020105000014
26,807,5,0,20,2,ESTRADA,NA,MANDIOCA A SIRIACO,0,SN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08 32 42.2940 S,36 08 43.0680 O,SIRIACO,NA,3,CRIACAO DE AVES E BOVINOS,NA,NA,0,0,55490000,260080705000020
33,4557,5,22,21,1,RUA,NA,MESQUITA,58,NA,LOJA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PADRE MIGUEL,NA,6,PADARIA,1,NA,2,2,21721210,330455705220021
